Elecciones 2018,Meade,Anaya,AMLO
0,1,6,6
0,0,5,5
0,1,6,9
1,1,8,12
0,1,7,12
1,1,6,8
1,1,7,12
1,1,5,9
1,1,6,8
1,1,6,8
0,1,5,12
1,1,6,9
1,1,5,17
1,1,7,14
1,1,6,14
1,1,8,11
1,1,8,16
1,1,6,14
3,1,17,16
1,1,7,11
1,2,7,7
1,2,6,6
1,2,7,6
1,1,6,5
1,1,6,6
1,1,6,5
1,2,7,8
1,3,6,6
2,4,5,5
2,4,10,7
2,2,8,6
1,3,9,7
1,3,7,9
1,3,6,7
1,3,6,7
2,4,9,7
2,7,11,7
2,6,7,8
2,4,6,7
2,3,7,7
2,4,6,9
2,3,7,7
2,6,8,10
4,100,15,13
3,29,10,15
4,18,24,21
4,37,21,17
4,26,17,14
6,24,22,19
8,25,25,22
7,26,30,24
12,37,26,28
