"CODIGO_ESTADO","NOMBRE_ESTADO","PAN","PNA","PRD","PRI","PT","PVEM","IVEI"
1,"aguascalientes",0.342466568835002,0.0916881876359148,0.131031888678392,0.363227522095931,0.0267612471892941,0.044824585565466,0.799658376390453
2,"baja california",0.324528737338901,0.0420466955251422,0.222706902525837,0.345713213742286,0.0335370613675248,0.031467389500308,0.798378279278045
3,"baja california sur",0.371598717465193,0.0278864111790282,0.174796673382872,0.371910403776478,0.0342555941010647,0.0195522000953633,0.750080353746082
4,"campeche",0.342433246986637,0.0415812572161006,0.153543455472539,0.425539902099034,0.0205048751521678,0.0163972630735209,0.727488603036836
5,"coahuila",0.351496431386054,0.0377428719162504,0.126010977367898,0.437256593426251,0.0196124862413138,0.0278806396622324,0.71441785689676
6,"colima",0.363896508460127,0.017893405348824,0.16491254827932,0.397556189263249,0.0306075271946886,0.0251338214537912,0.734610065627539
7,"chiapas",0.144206370295797,0.0302265113015608,0.217079941832902,0.307238673534763,0.0339923880123737,0.267256115022604,0.869279369890812
8,"chihuahua",0.279821478728058,0.0536801046703037,0.150668576135845,0.452401851826982,0.0255228157660359,0.0379051728727749,0.748034444652048
9,"distrito federal",0.198265546858449,0.0273613960431615,0.457943319362219,0.242053652224933,0.044245999204475,0.0301300863067623,0.747144703328786
10,"durango",0.278450162864328,0.0286178593870048,0.113630688468051,0.490752508274363,0.0643563846627722,0.0241923963434809,0.709130256921602
11,"guanajuato",0.443828891042976,0.0351191448456204,0.0975087718458664,0.350583574429747,0.0135225398122351,0.0594370780235556,0.712748353427707
12,"guerrero",0.101816906044999,0.0221368639428124,0.410907360859164,0.384423862323244,0.0402674855914033,0.0404475212383778,0.718036535539585
13,"hidalgo",0.191112058010861,0.0687493953728222,0.25338132427319,0.4264522477592,0.0269832368751231,0.0333217377088032,0.781191020380792
14,"jalisco",0.348926395150901,0.0358776255382839,0.120220210560733,0.437204836293176,0.0244131875948097,0.0333577448620958,0.718615898835127
15,"mexico",0.203224063093188,0.0325706532486444,0.273938112238706,0.437164180171474,0.0297652620559421,0.0233377291920447,0.74908439567501
16,"michoacan",0.221124585168473,0.0251819587643033,0.297750010507579,0.387875379504609,0.0281339685206997,0.0399340975343353,0.778262855959811
17,"morelos",0.195225583522145,0.0497949077010828,0.333609819653179,0.316768835276408,0.0455533300119442,0.0590475238352408,0.831881850945672
18,"nayarit",0.206863056507711,0.0309107762380894,0.241828294973202,0.465324662923866,0.0317713215229209,0.0233018878342099,0.733487128056951
19,"nuevo leon",0.4155688796945,0.0428203170095583,0.109156498408352,0.361680163771248,0.0422798414803454,0.0284942996359972,0.734159037925779
20,"oaxaca",0.191049176143237,0.0215090850722837,0.360078947007211,0.358403228354054,0.0360459792155655,0.0329135842076485,0.768237511277445
21,"puebla",0.299096499303415,0.0434882037143463,0.224671011840419,0.362695041729946,0.0459108839080874,0.0241383595037857,0.801993392849215
22,"queretaro",0.398220105056644,0.0287667483962657,0.133891279194309,0.386078985990235,0.0184610282002951,0.0345818531622506,0.722178880472782
23,"quintana roo",0.200718798678643,0.0321093735928943,0.313852178101544,0.375259138365224,0.0313887045460108,0.0466718067156842,0.789632406462043
24,"san luis potosi",0.34114127892156,0.0402083437495284,0.177147882729334,0.356956425278897,0.0371224978417302,0.0474235714789505,0.795016929705044
25,"sinaloa",0.273577547372431,0.0553946596689054,0.164313933988847,0.46020985756063,0.0215343649740283,0.0249696364351594,0.737250094260319
26,"sonora",0.37497505896732,0.0240161545382133,0.145821997364604,0.419771308667584,0.0197587234288316,0.0156567570334473,0.705555068566475
27,"tabasco",0.0611798819877577,0.0137915037996073,0.511065204829132,0.343278892575982,0.0224026125384023,0.0482819042691192,0.640262834650135
28,"tamaulipas",0.392785170739327,0.0389056957123103,0.130690007844778,0.393235943477227,0.0167512725632501,0.0276319096631081,0.721257117343629
29,"tlaxcala",0.22519781950585,0.0521791329501514,0.294735348041555,0.340477489214345,0.0564489703387062,0.0309612399493931,0.827593428254699
30,"veracruz",0.340060837254502,0.0203552574019977,0.22420834079309,0.36190783417106,0.0219349160962029,0.0315328142831468,0.766190039177139
31,"yucatan",0.395782292639846,0.0211452081347475,0.104357582516296,0.44632132460897,0.0109245330513917,0.021469059048748,0.665083530353392
32,"zacatecas",0.179974905986945,0.0348810361214178,0.189706979965957,0.468669623536108,0.0798080003722935,0.0469594540172794,0.767668575368571
