"PAN","PRI","PRD","PNA","PT","PVEM","SECCION","ID_ELEC"
14.6674953387197,31.8210068365444,11.3113735239279,12.6786824114357,1.49160969546302,1.98881292728403,1,"dif-2009"
15.9105034182722,25.6059664387819,13.6730888750777,6.71224362958359,9.19825978868863,1.36730888750777,1,"dif-2012"
6.58794282162834,24.4872591671846,16.283405842138,12.4300807955252,0.621504039776259,6.09073958980733,1,"dif-2015"
24.3629583592293,25.7302672467371,18.6451211932878,2.73461777501554,7.58234928527035,0.497203231821007,1,"prs-2012"
13.7973896830329,29.9564947172157,19.1423244251088,5.22063393412057,7.95525170913611,0.994406463642014,1,"sen-2012"
16.6080225193526,31.2456016889514,10.4152005629838,9.1484869809993,1.05559465165376,1.82969739619986,2,"dif-2009"
14.1449683321605,25.5453905700211,19.5636875439831,7.03729767769177,7.10767065446868,1.97044334975369,2,"dif-2012"
6.19282195636875,23.1527093596059,16.8895144264602,11.6115411681914,0.211118930330753,4.01125967628431,2,"dif-2015"
20.4081632653061,23.082336382829,21.1118930330753,3.37790288529205,6.89655172413793,0.703729767769177,2,"prs-2012"
11.8930330752991,27.9380717804363,19.2821956368754,5.981703026038,7.60028149190711,1.40745953553835,2,"sen-2012"
37.8097982708934,32.9682997118156,0,0.576368876080692,0.115273775216138,0.345821325648415,3,"dif-2009"
22.9394812680115,35.7348703170029,8.06916426512968,1.38328530259366,4.95677233429395,0,3,"dif-2012"
33.1988472622478,25.1296829971182,5.87896253602305,1.26801152737752,0.115273775216138,6.57060518731988,3,"dif-2015"
28.7031700288184,32.507204610951,7.72334293948127,0,4.49567723342939,0,3,"prs-2012"
23.5158501440922,32.7377521613833,1.03746397694524,1.38328530259366,10.835734870317,0.115273775216138,3,"sen-2012"
30.5747126436782,35.8620689655172,0,0.689655172413793,0.459770114942529,0.689655172413793,4,"dif-2009"
17.2413793103448,32.6436781609195,2.29885057471264,2.29885057471264,16.0919540229885,0,4,"dif-2012"
34.7126436781609,24.5977011494253,0,1.37931034482759,0.229885057471264,10.5747126436782,4,"dif-2015"
22.0689655172414,29.6551724137931,3.67816091954023,0.229885057471264,17.0114942528736,0,4,"prs-2012"
18.3908045977011,31.9540229885057,2.06896551724138,1.37931034482759,16.0919540229885,0.459770114942529,4,"sen-2012"
31.9419237749546,31.5789473684211,0,1.08892921960073,0.362976406533575,0.181488203266788,5,"dif-2009"
15.6079854809437,32.3049001814882,2.17785843920145,2.17785843920145,11.978221415608,0.544464609800363,5,"dif-2012"
33.3938294010889,24.1379310344828,0.181488203266788,1.08892921960073,0.181488203266788,11.4337568058076,5,"dif-2015"
22.1415607985481,29.7640653357532,2.35934664246824,0.181488203266788,9.98185117967332,0.362976406533575,5,"prs-2012"
17.2413793103448,29.2196007259528,0.725952813067151,2.54083484573503,11.978221415608,0.181488203266788,5,"sen-2012"
29.4212218649518,37.620578778135,0.321543408360129,0.482315112540193,0,0.482315112540193,6,"dif-2009"
17.3633440514469,32.3151125401929,0,0.964630225080386,12.540192926045,0,6,"dif-2012"
25.7234726688103,18.4887459807074,0.482315112540193,0,0,16.7202572347267,6,"dif-2015"
20.4180064308682,30.064308681672,0,0.482315112540193,12.8617363344051,0,6,"prs-2012"
17.3633440514469,32.3151125401929,0,2.09003215434084,10.7717041800643,0,6,"sen-2012"
27.5049115913556,35.7563850687623,0,0,0,0,7,"dif-2009"
6.67976424361493,28.6836935166994,0,0,10.6090373280943,0.392927308447937,7,"dif-2012"
13.3595284872299,11.0019646365422,0,0,0,25.9332023575639,7,"dif-2015"
9.03732809430256,27.1119842829077,0.392927308447937,0,10.2161100196464,0,7,"prs-2012"
7.85854616895874,27.1119842829077,0.392927308447937,0,11.3948919449902,0.392927308447937,7,"sen-2012"
31.0299869621904,39.8956975228162,0,0,0.521512385919166,0,8,"dif-2009"
4.95436766623207,34.1590612777053,1.04302477183833,0.782268578878748,15.645371577575,1.04302477183833,8,"dif-2012"
20.8604954367666,26.857887874837,0,1.04302477183833,0,11.9947848761408,8,"dif-2015"
10.6910039113429,35.7235984354628,1.04302477183833,0,10.6910039113429,0.521512385919166,8,"prs-2012"
5.47588005215124,32.5945241199478,1.30378096479791,0,0.260756192959583,0.260756192959583,8,"sen-2012"
32.6530612244898,34.1107871720117,0,0,0,0.291545189504373,9,"dif-2009"
17.7842565597668,26.530612244898,0.291545189504373,1.16618075801749,16.0349854227405,1.45772594752187,9,"dif-2012"
36.734693877551,4.66472303206997,0,0.583090379008746,0,24.7813411078717,9,"dif-2015"
21.5743440233236,29.4460641399417,0.291545189504373,0.583090379008746,10.2040816326531,0.583090379008746,9,"prs-2012"
17.4927113702624,25.3644314868805,0.291545189504373,1.74927113702624,15.1603498542274,0.583090379008746,9,"sen-2012"
27.6315789473684,38.9473684210526,0.526315789473684,0,0,0,10,"dif-2009"
14.2105263157895,38.1578947368421,1.31578947368421,0.263157894736842,13.4210526315789,0.789473684210526,10,"dif-2012"
23.1578947368421,20.7894736842105,0.526315789473684,1.57894736842105,0,18.1578947368421,10,"dif-2015"
20.2631578947368,33.4210526315789,5,0,8.42105263157895,0.526315789473684,10,"prs-2012"
16.5789473684211,35.5263157894737,0,1.05263157894737,15,0,10,"sen-2012"
29.8642533936652,38.9140271493213,0,0,0,0,11,"dif-2009"
14.9321266968326,37.5565610859729,0,0,0,5.88235294117647,11,"dif-2012"
28.0542986425339,19.9095022624434,0,1.80995475113122,0,8.1447963800905,11,"dif-2015"
21.2669683257919,32.1266968325792,0,0.452488687782805,6.78733031674208,0,11,"prs-2012"
